departments,course_title,ucas_code,highers,degree_type
,General Studies,Y001,AABB,MA
,Anthropology,L600,AABB,MA HONOURS
,Applied Mathematics,G122,AABB,MA HONOURS
,Archaeology,F421,AABB,MA HONOURS
,Behavioural Studies,C801,AABB,MA HONOURS
business,Business Management,N200,AABB,MA HONOURS
,Celtic and Anglo Saxon Studies,5Q28,AABB,MA HONOURS
sciences,Computing,G402,AABB,MA HONOURS
sciences,Computing with Industrial Placement,G405,AABB,MA HONOURS
,Theology and Religious Studies,V605,AABB,MA HONOURS
,Economics,L100,AABB,MA HONOURS
languages,English,Q300,AABB,MA HONOURS
languages,English and Scottish Literature,Q314,AABB,MA HONOURS
,Film and Visual Culture,W690,AABB,MA HONOURS
languages,French Studies,R120,AABB,MA HONOURS
languages,French Studies (4 years),R101,AABB,MA HONOURS
languages,Gaelic Studies,Q530,AABB,MA HONOURS
,Geography,L700,AABB,MA HONOURS
languages,German Studies (5yrs),R220,AABB,MA HONOURS
languages,German Studies (4yrs),R201,AABB,MA HONOURS
languages,Hispanic Studies (Latin America),T711,AABB,MA HONOURS
languages,Hispanic Studies (Latin America) (4 years),T701,AABB,MA HONOURS
languages,Hispanic Studies (Spain),R410,AABB,MA HONOURS
languages,Hispanic Studies (Spain) (4 years),R401,AABB,MA HONOURS
,History,V100,AABB,MA HONOURS
,History of Art,V350,AABB,MA HONOURS
languages,Language and Linguistics,Q190,AABB,MA HONOURS
sciences,Mathematics,G102,AABB,MA HONOURS
,Mental Philosophy,V500,AABB,MA HONOURS
,Natural Philosophy,F301,AABB,MA HONOURS
,Politics and International Relations,L240,AABB,MA HONOURS
,Psychology,C802,AABB,MA HONOURS
,Real Estate,K437,AABB,MA HONOURS
,Scottish Cultural Studies,V2L3,AABB,MA HONOURS
,Scottish Studies,V210,AABB,MA HONOURS
,Sociology,L300,AABB,MA HONOURS
business,Accountancy and Business Management,NN24,AABB,MA JOINT or COMBINED HONOURS
business,Accountancy and Economics,NL41,AABB,MA JOINT or COMBINED HONOURS
business,Accountancy and Finance,NN34,AABB,MA JOINT or COMBINED HONOURS
business,Accountancy and French,NR41,AABB,MA JOINT or COMBINED HONOURS
business,Accountancy and German,NR42,AABB,MA JOINT or COMBINED HONOURS
business,Accountancy and Hispanic Studies,NR44,AABB,MA JOINT or COMBINED HONOURS
business,Accountancy and Legal Studies,NM49,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Archaeology,LF64,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Celtic & Anglo Saxon Studies  ,52QL,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and English,LQ63,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Film & Visual Culture,LW66,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and French (4yrs),RL16,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and French (5yrs),LR61,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Gaelic Studies,LQ65,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Geography,LL67,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and German (4yrs),RL26,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and German (5yrs),LR62,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Hispanic Studies (4yrs),RL46,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Hispanic Studies (5 yrs),LR64,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and History,LV61,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and International Relations,LLP2,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Philosophy,LV65,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Politics,LL62,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Psychology,LC68,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Sociology,LL63,AABB,MA JOINT or COMBINED HONOURS
,Anthropology and Theology & Religious Studies,LV66,AABB,MA JOINT or COMBINED HONOURS
,Archaeology and Celtic & Anglo Saxon Studies,5V6Q,AABB,MA JOINT or COMBINED HONOURS
,Archaeology and History,FV41,AABB,MA JOINT or COMBINED HONOURS
,Archaeology and History of Art,FV43,AABB,MA JOINT or COMBINED HONOURS
,Behavioural Studies and Philosophy,CV15,AABB,MA JOINT or COMBINED HONOURS
,Behavioural Studies and Sociology,CL13,AABB,MA JOINT or COMBINED HONOURS
,Behavioural Studies with French,C1R1,AABB,MA JOINT or COMBINED HONOURS
,Behavioural Studies with Gaelic,CCQ5,AABB,MA JOINT or COMBINED HONOURS
,Behavioural Studies with German,CCR2,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Economics,LNC2,AABB,MA JOINT or COMBINED HONOURS
,Business Management and English,QN32,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Finance,NN32,AABB,MA JOINT or COMBINED HONOURS
,Business Management and French (4yrs),NR21,AABB,MA JOINT or COMBINED HONOURS
,Business Management and French (5yrs),RN12,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Gaelic Studies,QN52,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Geography,LN72,AABB,MA JOINT or COMBINED HONOURS
,Business Management and German (4yrs),NR22,AABB,MA JOINT or COMBINED HONOURS
,Business Management and German (5yrs),RN22,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Hispanic Studies (4yrs),NR24,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Hispanic Studies (5yrs),RN42,AABB,MA JOINT or COMBINED HONOURS
,Business Management and History,NV21,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Information Systems,GN52,AABB,MA JOINT or COMBINED HONOURS
,Business Management and International Relations,LNF2,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Legal Studies,MN92,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Mathematics,GN12,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Politics,LN22,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Psychology,CN28,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Real Estate,K438,AABB,MA JOINT or COMBINED HONOURS
,Business Management and Sociology,LN32,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and English,7Q5Q,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and Film & Visual Culture,7PQ9,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and French (4yrs),7Q83,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and French (5yrs),5R8Q,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and Gaelic,52Q8,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and Geography,5F19,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and German (4yrs),5QR4,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and German (5yrs),7QR2,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and Hispanic Studies (5yrs),5R29,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and Hispanic Studies(4yrs),7R2Q,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and History,5V1Q,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and History of Art,7QV2,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and Language & Linguistics,71Q1,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and Philosophy,7V52,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and Sociology,5LQ2,AABB,MA JOINT or COMBINED HONOURS
,Celtic & Anglo Saxon Studies and Theology & Religious Studies,79QV,AABB,MA JOINT or COMBINED HONOURS
,Computing and Music,IW13,AABB,MA JOINT or COMBINED HONOURS
,Economics and Finance,LN13,AABB,MA JOINT or COMBINED HONOURS
,Economics and French,LR11,AABB,MA JOINT or COMBINED HONOURS
,Economics and French (4 years),RL11,AABB,MA JOINT or COMBINED HONOURS
,Economics and Gaelic Studies,QL51,AABB,MA JOINT or COMBINED HONOURS
,Economics and Geography,LL17,AABB,MA JOINT or COMBINED HONOURS
,Economics and German,LR12,AABB,MA JOINT or COMBINED HONOURS
,Economics and German (4 years),RL21,AABB,MA JOINT or COMBINED HONOURS
,Economics and Hispanic Studies,LR14,AABB,MA JOINT or COMBINED HONOURS
,Economics and Hispanic Studies (4 years),RL41,AABB,MA JOINT or COMBINED HONOURS
,Economics and History,LV11,AABB,MA JOINT or COMBINED HONOURS
,Economics and International Relations,LLC2,AABB,MA JOINT or COMBINED HONOURS
,Economics and Legal Studies,LM19,AABB,MA JOINT or COMBINED HONOURS
,Economics and Mathematics,LG11,AABB,MA JOINT or COMBINED HONOURS
,Economics and Philosophy,LV15,AABB,MA JOINT or COMBINED HONOURS
,Economics and Politics,LL12,AABB,MA JOINT or COMBINED HONOURS
,Economics and Psychology,LC18,AABB,MA JOINT or COMBINED HONOURS
,Economics and Sociology,LL13,AABB,MA JOINT or COMBINED HONOURS
,English and Film & Visual Culture,QW36,AABB,MA JOINT or COMBINED HONOURS
,English and French,QR31,AABB,MA JOINT or COMBINED HONOURS
,English and French (4 years),RQ13,AABB,MA JOINT or COMBINED HONOURS
,English and Gaelic Studies,QQ53,AABB,MA JOINT or COMBINED HONOURS
,English and German,QR32,AABB,MA JOINT or COMBINED HONOURS
,English and German (4 years),RQ23,AABB,MA JOINT or COMBINED HONOURS
,English and Hispanic Studies,QR34,AABB,MA JOINT or COMBINED HONOURS
,English and Hispanic Studies (4 years),RQ43,AABB,MA JOINT or COMBINED HONOURS
,English and History,QV31,AABB,MA JOINT or COMBINED HONOURS
,English and History of Art,QV33,AABB,MA JOINT or COMBINED HONOURS
,English and International Relations,QL32,AABB,MA JOINT or COMBINED HONOURS
,English and Language & Linguistics,QQ31,AABB,MA JOINT or COMBINED HONOURS
,English and Philosophy,QV35,AABB,MA JOINT or COMBINED HONOURS
,English and Sociology,QL33,AABB,MA JOINT or COMBINED HONOURS
,English and Theology & Religious Studies,QVH6,AABB,MA JOINT or COMBINED HONOURS
,English with Creative Writing,3500,AABB,MA JOINT or COMBINED HONOURS
,English with Music Studies,Q3W3,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and French,WR6C,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and French (4 years),WR61,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and Gaelic Studies,QW56,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and German,WR6F,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and German (4 years),WR62,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and Hispanic Studies,WR6K,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and Hispanic Studies (4 years),WR64,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and History,WV61,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and History of Art,WV63,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and International Relations,WL62,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and Philosophy,WV65,AABB,MA JOINT or COMBINED HONOURS
,Film & Visual Culture and Sociology,LW36,AABB,MA JOINT or COMBINED HONOURS
,Finance and French,NR31,AABB,MA JOINT or COMBINED HONOURS
,Finance and French (4 years),RN13,AABB,MA JOINT or COMBINED HONOURS
,Finance and German,NR32,AABB,MA JOINT or COMBINED HONOURS
,Finance and German (4 years),RN23,AABB,MA JOINT or COMBINED HONOURS
,Finance and Hispanic Studies,RN43,AABB,MA JOINT or COMBINED HONOURS
,Finance and Hispanic Studies (4 years),RNK3,AABB,MA JOINT or COMBINED HONOURS
,Finance and International Relations,NLH2,AABB,MA JOINT or COMBINED HONOURS
,Finance and Real Estate,NK32,AABB,MA JOINT or COMBINED HONOURS
,French and Gaelic Studies,QR51,AABB,MA JOINT or COMBINED HONOURS
,French and Geography,LR71,AABB,MA JOINT or COMBINED HONOURS
,French and German,RR12,AABB,MA JOINT or COMBINED HONOURS
,French and Hispanic Studies,RR14,AABB,MA JOINT or COMBINED HONOURS
,French and History,RV11,AABB,MA JOINT or COMBINED HONOURS
,French and History (4 years),VR11,AABB,MA JOINT or COMBINED HONOURS
,French and History of Art,RV13,AABB,MA JOINT or COMBINED HONOURS
,French and History of Art (4 years),VR31,AABB,MA JOINT or COMBINED HONOURS
,French and International Relations,RLC2,AABB,MA JOINT or COMBINED HONOURS
,French and International Relations (4 years),LRF1,AABB,MA JOINT or COMBINED HONOURS
,French and Language & Linguistics,RQ11,AABB,MA JOINT or COMBINED HONOURS
,French and Language & Linguistics (4 years),RQC1,AABB,MA JOINT or COMBINED HONOURS
,French and Legal Studies,MR91,AABB,MA JOINT or COMBINED HONOURS
,French and Legal Studies (4 years),MRX1,AABB,MA JOINT or COMBINED HONOURS
,French and Mathematics,RG11,AABB,MA JOINT or COMBINED HONOURS
,French and Philosophy,RV15,AABB,MA JOINT or COMBINED HONOURS
,French and Philosophy (4 years),VR51,AABB,MA JOINT or COMBINED HONOURS
,French and Politics,RL12,AABB,MA JOINT or COMBINED HONOURS
,French and Politics (4years),LR21,AABB,MA JOINT or COMBINED HONOURS
,French and Sociology,RL13,AABB,MA JOINT or COMBINED HONOURS
,French and Sociology (4 years),RLC3,AABB,MA JOINT or COMBINED HONOURS
,French and Theology & Religious Studies,VR61,AABB,MA JOINT or COMBINED HONOURS
,French and Theology & Religious Studies (4 years),RV16,AABB,MA JOINT or COMBINED HONOURS
,French with Music Studies,R1W3,AABB,MA JOINT or COMBINED HONOURS
,French with Music Studies (4 years),R1WH,AABB,MA JOINT or COMBINED HONOURS
,Gaelic Studies and Geography,QL57,AABB,MA JOINT or COMBINED HONOURS
,Gaelic Studies and German,QR52,AABB,MA JOINT or COMBINED HONOURS
,Gaelic Studies and Hispanic Studies,QR54,AABB,MA JOINT or COMBINED HONOURS
,Gaelic Studies and History,QV51,AABB,MA JOINT or COMBINED HONOURS
,Gaelic Studies and History of Art,QV53,AABB,MA JOINT or COMBINED HONOURS
,Gaelic Studies and Language & Linguistics,QQ51,AABB,MA JOINT or COMBINED HONOURS
,Gaelic Studies and Politics,QL52,AABB,MA JOINT or COMBINED HONOURS
,Gaelic Studies and Sociology,QL53,AABB,MA JOINT or COMBINED HONOURS
,Gaelic Studies and Theology & Religious Studies,QV56,AABB,MA JOINT or COMBINED HONOURS
,Geography and German,LR72,AABB,MA JOINT or COMBINED HONOURS
,Geography and Hispanic Studies,LR74,AABB,MA JOINT or COMBINED HONOURS
,Geography and History,LV71,AABB,MA JOINT or COMBINED HONOURS
