departments,course_title,ucas_code,highers,degree_type
,Geography and International Relations,LL72,AABB,MA JOINT or COMBINED HONOURS
,Geography and Sociology,LL73,AABB,MA JOINT or COMBINED HONOURS
,German and Hispanic Studies,RR24,AABB,MA JOINT or COMBINED HONOURS
,German and History,RV21,AABB,MA JOINT or COMBINED HONOURS
,German and History (4 years),VR12,AABB,MA JOINT or COMBINED HONOURS
,German and History of Art,RV23,AABB,MA JOINT or COMBINED HONOURS
,German and History of Art (4 years),VR32,AABB,MA JOINT or COMBINED HONOURS
,German and International Relations,RLF2,AABB,MA JOINT or COMBINED HONOURS
,German and International Relations (4 years),LRF2,AABB,MA JOINT or COMBINED HONOURS
,German and Language & Linguistics,RQ21,AABB,MA JOINT or COMBINED HONOURS
,German and Language & Linguistics (4 years),RQF1,AABB,MA JOINT or COMBINED HONOURS
,German and Legal Studies,MR92,AABB,MA JOINT or COMBINED HONOURS
,German and Legal Studies (4 years),MRX2,AABB,MA JOINT or COMBINED HONOURS
,German and Mathematics,RG21,AABB,MA JOINT or COMBINED HONOURS
,German and Philosophy,RV25,AABB,MA JOINT or COMBINED HONOURS
,German and Philosophy (4 years),VR52,AABB,MA JOINT or COMBINED HONOURS
,German and Politics,RL22,AABB,MA JOINT or COMBINED HONOURS
,German and Politics (4 years),LR22,AABB,MA JOINT or COMBINED HONOURS
,German and Sociology,RL23,AABB,MA JOINT or COMBINED HONOURS
,German and Sociology (4 years),RLF3,AABB,MA JOINT or COMBINED HONOURS
,German and Theology & Religious Studies,VR62,AABB,MA JOINT or COMBINED HONOURS
,German and Theology & Religious Studies (4 years),RV26,AABB,MA JOINT or COMBINED HONOURS
,German with Music Studies,R2W3,AABB,MA JOINT or COMBINED HONOURS
,German with Music Studies (4 years),R2WH,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and History,RV41,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and History (4 years),VR14,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and History of Art,RV43,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and History of Art (4 years),VR34,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and International Relations,RLK2,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and International Relations (4 years),LRF4,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Language & Linguistics,RQ41,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Language & Linguistics (4 years),RQK1,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Legal Studies,MR94,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Legal Studies (4 years),MRX4,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Mathematics,RG41,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Philosophy,RV45,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Philosophy (4 years),VR54,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Politics,RL42,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Politics (4 years),LR24,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Sociology,RL43,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Sociology (4 years),RLK3,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Theology & Religious Studies,VR64,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies and Theology & Religious Studies (4 years),RV46,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies with Music Studies,R4W3,AABB,MA JOINT or COMBINED HONOURS
,Hispanic Studies with Music Studies (4 years),R4WH,AABB,MA JOINT or COMBINED HONOURS
,History and History of Art,VV13,AABB,MA JOINT or COMBINED HONOURS
,History and International Relations,VLC2,AABB,MA JOINT or COMBINED HONOURS
,History and Legal Studies,VM12,AABB,MA JOINT or COMBINED HONOURS
,History and Philosophy,VV15,AABB,MA JOINT or COMBINED HONOURS
,History and Politics,VL12,AABB,MA JOINT or COMBINED HONOURS
,History and Sociology,VL13,AABB,MA JOINT or COMBINED HONOURS
,History and Theology & Religious Studies,VVC6,AABB,MA JOINT or COMBINED HONOURS
,History of Art and Theology & Religious Studies,VVH6,AABB,MA JOINT or COMBINED HONOURS
,History with Music Studies,V1W3,AABB,MA JOINT or COMBINED HONOURS
,International Relations and Language & Linguistics,LQ21,AABB,MA JOINT or COMBINED HONOURS
,International Relations and Legal Studies,MLC2,AABB,MA JOINT or COMBINED HONOURS
,International Relations and Sociology,LLF3,AABB,MA JOINT or COMBINED HONOURS
,International Relations and Theology & Religious Studies,VL62,AABB,MA JOINT or COMBINED HONOURS
,Language & Linguistics and Philosophy,QV15,AABB,MA JOINT or COMBINED HONOURS
,Language & Linguistics and Sociology,QL13,AABB,MA JOINT or COMBINED HONOURS
,Language & Linguistics and Theology & Religious Studies,VQ61,AABB,MA JOINT or COMBINED HONOURS
,Languages and Literature of Scotland,QQ52,AABB,MA JOINT or COMBINED HONOURS
,Legal Studies and Philosophy,VM51,AABB,MA JOINT or COMBINED HONOURS
,Legal Studies and Politics,ML12,AABB,MA JOINT or COMBINED HONOURS
,Legal Studies and Psychology,CM89,AABB,MA JOINT or COMBINED HONOURS
,Mathematics and Philosophy,GV15,AABB,MA JOINT or COMBINED HONOURS
,Mathematics with Gaelic,G1Q8,AABB,MA JOINT or COMBINED HONOURS
,Philosophy and Physics,VF53,AABB,MA JOINT or COMBINED HONOURS
,Philosophy and Politics,VL52,AABB,MA JOINT or COMBINED HONOURS
,Philosophy and Psychology,VC58,AABB,MA JOINT or COMBINED HONOURS
,Philosophy and Sociology,VL53,AABB,MA JOINT or COMBINED HONOURS
,Philosophy and Theology & Religious Studies,VV65,AABB,MA JOINT or COMBINED HONOURS
,Philosophy with Music Studies,V5W3,AABB,MA JOINT or COMBINED HONOURS
,Politics and Sociology,LL23,AABB,MA JOINT or COMBINED HONOURS
,Politics and Theology & Religious Studies,LVG6,AABB,MA JOINT or COMBINED HONOURS
,Psychology and Sociology,LC38,AABB,MA JOINT or COMBINED HONOURS
,Psychology with French,C8RC,AABB,MA JOINT or COMBINED HONOURS
,Psychology with Gaelic,C8QM,AABB,MA JOINT or COMBINED HONOURS
,Psychology with German,C8RF,AABB,MA JOINT or COMBINED HONOURS
,Sociology and Theology & Religious Studies,LVJ6,AABB,MA JOINT or COMBINED HONOURS
,Divinity  ,V600,AABB,BD HONOURS
,Theology,V612,AABB,BTh HONOURS
,Music,W300,BBBB,BMus HONOURS
,Music and Communities,W390,BBBB,BMus HONOURS
,Music Education,XW13,ABBB,MEd HONOURS
,Primary,X120,ABBB,MEd HONOURS
,Law  ,M114,AAAB,LLB HONOURS
,Law - Accelerated (Graduates only),M115,AAAB,LLB HONOURS
,Law and European Legal Studies,M127,AAAB,LLB HONOURS
,Law and French Law,M121,AAAB,LLB HONOURS
,Law and German Law,M123,AAAB,LLB HONOURS
,Law and Spanish Law,M126,AAAB,LLB HONOURS
,Law with English Law,M2M1,AAAB,LLB HONOURS
,Law with English Law - Accelerated (Graduates only),M116,AAAB,LLB HONOURS
,Law with English Law and European Legal Studies,M117,AAAB,LLB HONOURS
,Law with options in Accountancy,M1N4,AAAB,LLB HONOURS
,Law with options in Business Management,M1N2,AAAB,LLB HONOURS
,Law with options in Economics,M1L1,AAAB,LLB HONOURS
,Law with options in French,M125,AAAB,LLB HONOURS
,Law with options in Gaelic Language,M128,AAAB,LLB HONOURS
,Law with options in German,M124,AAAB,LLB HONOURS
,Law with options in Music,M1W3,AAAB,LLB HONOURS
,Law with options in Spanish,M122,AAAB,LLB HONOURS
,Chemical Engineering   (ATAS rq'd),H810,AABB,MEng HONOURS
,Civil Engineering (5 years),H205,AABB,MEng HONOURS
,Civil and Environmental Engineering,H255,AABB,MEng HONOURS
,Civil and Structural Engineering,H225,AABB,MEng HONOURS
,Civil Engineering with Subsea Technology,H229,AABB,MEng HONOURS
,Electrical and Electronic Engineering,H605,AABB,MEng HONOURS
,Engineering (5 years),H104,AABB,MEng HONOURS
,Mechanical and Electrical Engineering  (ATAS rq'd),HHH6,AABB,MEng HONOURS
,Mechanical Engineering  (ATAS rq'd),H305,AABB,MEng HONOURS
,Mechanical Engineering with Business Management  (ATAS rq'd),H3N2,AABB,MEng HONOURS
,Mechanical Engineering with Subsea Technologies  (ATAS rq'd),H309,AABB,MEng HONOURS
,Petroleum Engineering  (ATAS rq'd),H850,AABB,MEng HONOURS
,Chemical Engineering,H813,ABBB,BEng HONOURS
,Engineering,H100,ABBB,BEng HONOURS
,Engineering (Civil and Environmental),H220,ABBB,BEng HONOURS
,Engineering (Civil and Structural),H221,ABBB,BEng HONOURS
,Engineering (Civil),H200,ABBB,BEng HONOURS
,Engineering (Electrical and Electronic),H620,ABBB,BEng HONOURS
,Engineering (Mechanical and Electrical),HH36,ABBB,BEng HONOURS
,Engineering (Mechanical with Oil and Gas Studies),H3H8,ABBB,BEng HONOURS
,Engineering (Mechanical),H300,ABBB,BEng HONOURS
,Petroleum Engineering,H851,ABBB,BEng HONOURS
,Dental Surgery (Graduates Only),A201,n/a,BDS
,Medicine   ,A100,AAAAB,BSc or MBChB
,Science,CDG0,AABB,BSc
,Animal Behaviour,C349,AABB,BSc HONOURS
,Applied Mathematics,G120,AABB,BSc HONOURS
,Archaeology,F420,AABB,BSc HONOURS
,Behavioural Biology,C859,AABB,BSc HONOURS
,Behavioural Studies,C803,AABB,BSc HONOURS
,Behavioural Studies with French,CCR1,AABB,BSc HONOURS
,Behavioural Studies with Gaelic,C1Q5,AABB,BSc HONOURS
,Behavioural Studies with German,C1R2,AABB,BSc HONOURS
,Biochemistry ,C700,AABB,BSc HONOURS
,Biological Sciences,C901,AAAB,BSc HONOURS
,Biology,C100,AABB,BSc HONOURS
,Biotechnology (Applied Molecular Biology),J700,AABB,BSc HONOURS
,Business Management and Information Systems,GN54,AABB,BSc HONOURS
,Chemistry,F100,AABB,BSc HONOURS
,Computing Science,G400,AABB,BSc HONOURS
,Computing Science and Mathematics,GGK1,AABB,BSc HONOURS
,Computing Science and Physics,IF13,AABB,BSc HONOURS
,Conservation Biology,C161,AABB,BSc HONOURS
,Ecology,D430,AABB,BSc HONOURS
,Environmental Chemistry,F142,AABB,BSc HONOURS
,Environmental Science ,F900,AABB,BSc HONOURS
,Exercise and Health Science,C603,AABB,BSc HONOURS
,Forest Sciences,D520,AABB,BSc HONOURS
,Forestry,D500,AABB,BSc HONOURS
,Genetics,C400,AABB,BSc HONOURS
,Genetics (Immunology),C450,AABB,BSc HONOURS
,Geography,F800,AABB,BSc HONOURS
,Geography and Geoscience,FF68,AABB,BSc HONOURS
,Geology and Petroleum Geology,F602,AABB,BSc HONOURS
,Geology and Physics,FF63,AABB,BSc HONOURS
,Human Embryology and Developmental Biology,CC71,AABB,BSc HONOURS
,Immunology,C552,AABB,BSc HONOURS
,Immunology and Pharmacology,BC25,AABB,BSc HONOURS
,Marine Biology,C350,AABB,BSc HONOURS
,Mathematics,G100,AABB,BSc HONOURS
,Mathematics and Physics,FG31,AABB,BSc HONOURS
,Mathematics with French,G1R1,AABB,BSc HONOURS
,Mathematics with Gaelic,G1Q5,AABB,BSc HONOURS
,Mathematics with German,G1R2,AABB,BSc HONOURS
,Mathematics with Spanish,G1R4,AABB,BSc HONOURS
,Microbiology,C500,AABB,BSc HONOURS
,Molecular Biology,CC74,AABB,BSc HONOURS
,Neuroscience with Psychology,B170,AABB,BSc HONOURS
,Oil and Gas Chemistry,F111,AABB,BSc HONOURS
,Pharmacology,B210,AABB,BSc HONOURS
,Physical Sciences,F302,AABB,BSc HONOURS
,Physics,F300,AABB,BSc HONOURS
,Physics with Geology,F3F6,AABB,BSc HONOURS
,Physics with Modern Languages,F3R4,AABB,BSc HONOURS
,Physics with Philosophy,F3V5,AABB,BSc HONOURS
,Physiology,B120,AABB,BSc HONOURS
,Plant and Soil Science,CD27,AABB,BSc HONOURS
,Psychology,C800,AABB,BSc HONOURS
,Psychology with French,C8R1,AABB,BSc HONOURS
,Psychology with Gaelic,C8QN,AABB,BSc HONOURS
,Psychology with German,C8R2,AABB,BSc HONOURS
,Sports and Exercise Science,C600,AABB,BSc HONOURS
,Zoology,C300,AABB,BSc HONOURS
,Biomedical Science (Anatomy),B9BC,AAAB,BSc or BSc HONOURS
,Biomedical Science (Developmental Biology),B9C1,AAAB,BSc or BSc HONOURS
,Biomedical Science (Molecular Biology),B9C7,AAAB,BSc or BSc HONOURS
,Biomedical Science (Pharmacology),B9B2,AAAB,BSc or BSc HONOURS
,Biomedical Science (Physiology),B9B1,AAAB,BSc or BSc HONOURS
,Computing Science (5 years),I101,AAAB,Meng SCIENCE HONOURS
,Chemistry,F105,AAAB,MChem  HONOURS
,Environmental Chemistry,F143,AAAB,MChem  HONOURS
,Oil and Gas Chemistry,F110,AAAB,MChem  HONOURS
,Geology,F600,AAAB,MGeol HONOURS
,Physics with Complex Systems Modelling (ATAS rq'd),F390,AAAB,MPhys HONOURS
,Biochemistry with Industrial Placement,C701,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biological Sciences,C900,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Anatomy) with Industrial Placement,B9BD,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Developmental Biology) with Industrial Placement,B9CC,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Molecular Biology) with Industrial Placement,B9CR,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Pharmacology) with Industrial Placement,B9BF,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Physiology) with Industrial Placement,B9BA,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biotechnology (Applied Molecular Biology) with Industrial Placement,J701,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Computing Science with Industrial Placement,G401,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Genetics (Immunology) with Industrial Placement,C451,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Genetics with Industrial Placement,C401,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Human Embryology and Developmental Biology with Industrial Placement,CC7C,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Immunology and Pharmacology with Industrial Placement,BC2M,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Immunology with Industrial Placement,C550,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Microbiology with Industrial Placement,C501,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Molecular Biology with Industrial Placement,CC47,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Neuroscience with Psychology with Industrial Placement,B1C8,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Pharmacology with Industrial Placement,B211,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Physiology with Industrial Placement,B121,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Sports and Exercise Science with Industrial Placement,C602,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Exercise and Health Science with Industrial Placement,C601,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
